ངན་སོང་སྤོང|Abandoner of Unfavorable Rebirths
ཟླ་བ་བཟང་པོ|Beautiful Moon
ཟླ་བའི་སྒྲོན་མ|Lamp of the Moon [or Immaculate Moon]
ཟླ་བ་རྒྱས་པ་དྲི་མ་མེད་པ|Stainless Full Moon
ཆུ་ཟླ|Moon reflected in water
རིན་ཆེན་ཟླ་བ་བྱང་ཆུབ་ཀྱི་སྤྱད་པ་སྤྱོད་པ|Jewel Moon Performing Enlightened Actions
ཟླ་བའི་ཐུགས|Whose Mind is Like the Moon
ཞལ་ཟླ་བ་ཉ་བ་ལྟ་བུ|Visage that resembles the full moon
ཞལ་ཟླ་བ་ལྟ་བུ|Face is moonlike
ཟླ་བ་ཉ་བའི་འོད་དྲི་མ་མེད་པ|Taintless Light of the Full Moon
ཟླ་བའི་རྒྱལ་མཚན་ཏོག|Crest of the Victory Banner of the Moon
ལྔ་སྟོན|Feasts on the fifth, the eighth, the fourteenth, or the full moon
བརྒྱད་སྟོན|Feasts on the fifth, the eighth, the fourteenth, or the full moon
བཅུ་བཞི་སྟོན|Feasts on the fifth, the eighth, the fourteenth, or the full moon
ཉ་སྟོན|Feasts on the fifth, the eighth, the fourteenth, or the full moon
ཟླ་བ|Moon
རི་བོང་ཅན|Moon
ཟླ་བ|Moon
ཟླ་བ་བཟང་པོ|Beautiful Moon
ཟླ་བའི་སྒྲོན་མ|Lamp of the Moon [or Immaculate Moon]
ཟླ་བ་རྒྱས་པ་དྲི་མ་མེད་པ|Stainless Full Moon
ཆུ་ཟླ|Moon reflected in water
རིན་ཆེན་ཟླ་བ་བྱང་ཆུབ་ཀྱི་སྤྱད་པ་སྤྱོད་པ|Jewel Moon Performing Enlightened Actions
ཟླ་བའི་ཐུགས|Whose Mind is Like the Moon
ཞལ་ཟླ་བ་ཉ་བ་ལྟ་བུ|Visage that resembles the full moon
ཞལ་ཟླ་བ་ལྟ་བུ|Face is moonlike
ཟླ་བ་ཉ་བའི་འོད་དྲི་མ་མེད་པ|Taintless Light of the Full Moon
ཟླ་བའི་རྒྱལ་མཚན་ཏོག|Crest of the Victory Banner of the Moon
ལྔ་སྟོན|Feasts on the fifth, the eighth, the fourteenth, or the full moon
བརྒྱད་སྟོན|Feasts on the fifth, the eighth, the fourteenth, or the full moon
བཅུ་བཞི་སྟོན|Feasts on the fifth, the eighth, the fourteenth, or the full moon
ཉ་སྟོན|Feasts on the fifth, the eighth, the fourteenth, or the full moon
ཆུ་ཟླ|Moon reflected in water
སླེ་ཏྲེས|Moonseed
ཚུལ་ཁྲིམས|Moral conduct
ཚུལ་ཁྲིམས|Morality
འཆལ་བའི་ཚུལ་ཁྲིམས|Degenerate morality
ཤ་བཀྲ|Morbid pallor
ཤིན་ཏུ་རྒྱས་པའི་མདོ་སྡེ|Most extensive discourses
ཤིན་ཏུ་དྲི་ལྡན|Most Fragrant
ཕྱེ་མ་ལེབ|Moth
གསོལ་བ|Motion
འགྲོ་བ|Motion
མི་འགྲོ་བ|Non-motion
ལས་བརྗོད་པ|Motion to act
གསོལ་བ་འབའ་ཞིག་གི་ལས|Act of motion alone
གསོལ་བ་འབའ་ཞིག་གི་ལས|Act of motion alone
གསོལ་བ་དང་གཉིས་ཀྱི་ལས|Act whose second member is a motion
གསོལ་བ་དང་གཉིས་ཀྱི་ལས|Act whose second member is a motion
གསོལ་བ་དང་བཞིའི་ལས|Act whose fourth member is a motion
གསོལ་བ་དང་བཞིའི་ལས|Act whose fourth member is a motion
ལས་བརྗོད་པ|Motion to act
འདུ་བྱེད|Motivation
དུས་མ་ཡིན་པར་སྟོན་པ|Mount Akāladarśana
མི་སྟོན་པ|Mount Anādarśaka
ཁང་པ|Mount Bhavana
འཁོར་ཡུག|Mount Cakravāla
རི་ག་ཡ|Mount Gaya
མཇུག་མ་སྒྱུར་ཞེ་བྱ་བའི་རི|Mount Golāṅgula­parivartana
འབར་བའི་ཁ|Mount Jālinīmukha
ནག་པོ|Mount Kāla
ཐམས་ཅད་དུ་གཏོགས་པ|Mount Kṛtsrāgata
འཁོར་ཡུག་ཆེན་པོ|Mount Mahācakravāla
ནག་པོ་ཆེན་པོ|Mount Mahākāla
ནོར་བུ་རིན་པོ་ཆེ་ཆེན་པོ|Mount Mahāmaṇiratna
རི་རབ|Mount Meru
རི་རབ|Mount Meru
རི་རབ|Mount Meru
རི་རབ|Mount Meru
མུ་ཙི་ལིན་ད|Mount Mucilinda
གསུས་ཤོལ|Mount Saṃsṛṣṭa
རྩེ་མོ་བརྒྱ་པ|Mount Śataśṛṅga
སྟོན་པ|Mount Sudarśana
རི་རབ|Mount Sumeru
ཆུ་སྲིན་བྱིས་པ་གསོད་ལྟ་བུའི་རི|Mount Śuśumāra
ཆུ་སྲིན་བྱིས་པ་གསོད་ལྟ་བུའི་རི|Mount Śuśumāra
རི་ཕུག|Mountain cave
ཨ་ཏི་མུག་ཏ་ཀ|Mountain ebony
རི་སྲུང|Mountain Protector
ཞལ་ཡོངས་སུ་རྒྱས་པ|Mouth is compact
ཞལ་དྲི་ཞིམ་པ|Mouth is fragrant
ཞལ་ཧ་ཅང་ཡང་མི་རིང་བ|Mouth is not too wide
ཞལ་རྐང་རྐོང་མེད་པ|Mouth is without blemish
སྲོག་དང་རྩོལ་བ|Movement of breath
རྫ་རྔ|Mṛdaṅga drum
རྫ་རྔ|Mṛdaṅga drum
སྒྲ་དབྱངས་སྙན|Mṛdusvara
སྒྲ་དབྱངས་སྙན|Mṛdusvara
རི་དགས་ཀྱི་ནགས|Deer Park
རི་དགས་ཀྱི་ནགས|Mṛgadāva
རི་དགས་ཀྱི་ནགས|Mṛgadāva
རི་དགས་ཀྱི་ནགས|Deer Park
དྲང་སྲོང་རི་དྭགས་ཀྱི་ནགས|Ṛṣipatana Deer Park
དྲང་སྲོང་རི་དྭགས་ཀྱི་ནགས|Ṛṣipatana Deer Park
རི་དགས་རྒྱལ|Mṛgarāja
རི་དགས་རྒྱལ|Mṛgarāja
མགོ|Mṛgaśirā
མགོ|Mṛgaśirā
རི་དགས་མགོ|Mṛgaśiras
རི་དགས་མགོ|Mṛgaśiras
བཏང་བཟང|Mucilinda
བཏང་བཟང|Mucilinda
རི་བཏང་བཟུང|Mucilinda
རི་བཏང་བཟུང|Mucilinda
བཏང་བཟུང|Mucilinda Mountains
བཏང་བཟུང|Mucilinda
བཏང་བཟུང|Mucilinda
བཏང་བཟང|Mucilinda
བཏང་བཟང|Mucilinda
ཀར་ནི|Karnikara
དོང་ཀ|Karnikara
དཀར་ནི|Karnikara
བཏང་བཟུང|Mucilinda
བཏང་བཟུང|Mucilinda
མུ་ཙི་ལིན་ད|Mount Mucilinda
བཏང་བཟུང|Mucilinda
བཏང་བཟུང|Mucilinda
བཏང་བཟུང|Mucilinda Mountains
མུ་ཙི་ལིན་ད|Mount Mucilinda
བཏང་བཟུང་ཆེན་པོ|Greater Mucilinda Mountains
བཏང་བཟུང|Mucilinda Mountains
བཏང་བཟུང་ཆེན་པོ|Greater Mucilinda Mountains
ཕྱག་རྒྱ|Seal
ཕྱག་རྒྱ|Mudrā
ཕྱག་རྒྱ|Mudrā
ཆོས་ཐམས་ཅད་ཡང་དག་པར་འདུ་བ་རྒྱ་མཚོའི་ཕྱག་རྒྱ|Oceanic Seal Gathering All Phenomena
བཞིན་རྒྱན|Mukhamaṇḍiti
བཞིན་རྒྱན|Mukhamaṇḍiti
སྤེན་ཏོག་རྒྱན|Mukhaphullaka
མེ་ཏོག་རྒྱན|Mukhaphullaka
སྤེན་ཏོག་རྒྱན|Mukhaphullaka
མེ་ཏོག་རྒྱན|Mukhaphullaka
རྔ་ཟླུམ|Mukunda drum
སྣྲུབས|Mūlā
སྣྲུབས|Mūlā
རྩ་བ|Mūla
རྩ་བ|Mūla
ཁང་པ་བརྩེགས་པ|Multi-story building
སྲེའོ|Multicolored
འཇིག་རྟེན་པ|Mundane
འཇིག་རྟེན་པའི་ཆོས|Mundane phenomena
འཇིག་རྟེན་ཐམས་ཅད་ལ་མངོན་པར་མི་དགའ་བའི་འདུ་ཤེས|Perception of disinterest in all mundane things
འཇིག་རྟེན་པའི་ཆོས་ཀྱི་སྦྱིན་པ|Mundane gift of the sacred doctrine
འཇིག་རྟེན་པའི་ཆོས་ཀྱི་སྦྱིན་པ|Mundane gift of the sacred doctrine
འཇིག་རྟེན་པའི་ཆོས|Mundane phenomena
མུཎྜ་རཱི|Muṇḍirī
མུཎྜ་རཱི|Muṇḍirī
ཐུབ་པ|Able One
ཐུབ་པ|Sage
ཐུབ་པ|Muni
ཐུབ་པ|Muni
དཔེ་བྱད་བཟང་པོ|Features of a great muni
མུ་ནི་བར་མ|Munivarma
མུ་ནི་བར་མ|Munivarma
རྩ་མུན་ཛ|Muñja grass
རྫ་རྔ་ཆེན་པོ|Muraja drum
རོལ་མོའི་སྒྲ|Musical sound
གླ་བ|Musk
དར་ལ|Muslin
སྐེ་ཚེ|Mustard
ཡུངས་ཀར|Mustard
ཡུངས་འབྲུ|Mustard
ཡུངས་ཀར|Mustard seed
ཡུངས་ཀར|Mustard seed
ཁུ་ཚུར་ཅན|Muṣṭikā
ཁུ་ཚུར་ཅན|Muṣṭikā
སྐྱེས་རབས|My previous lifetimes
རི་སྐེགས|Myna bird
ཨ་རུ་ར|Myrobalan
བ་རུ་ར|Belleric myrobalan
སྐྱུ་རུ་ར|Emblic myrobalan
ཨ་རུ་ར|Yellow myrobalan
འབྲས་བུ་གསུམ|Three myrobalan fruits
ཆུ་ཀླུང་འོད་སྲུང|Nadīkāśyapa
ཆུ་ཀླུང་འོད་སྲུང|Nadīkāśyapa
ཆུ་ཀླུང་འོད་སྲུང|Nadīkāśyapa
ཆུ་ཀླུང་འོད་སྲུང|Nadīkāśyapa
ཆུ་ཀླུང་འོད་སྲུང|Nadīkāśyapa
ཆུ་ཀླུང་འོད་སྲུང|Nadīkāśyapa
ཆུ་ཀླུང་འོད་སྲུང|Nadīkāśyapa
ཆུ་ཀླུང་འོད་སྲུང|Nadīkāśyapa
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ|Nāga
ཀླུ་ཤིང|Nāga tree
ཀླུ་ཆེན་པོ|Mighty nāga
ཀླུའི་མཐུ|Nāga-power
ཀླུ་འདབ་བཟངས་ཀྱི་གདོན|Fine-winged nāga graha
ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོ|Nāga King Sāgara
ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོ|Nāga King Sāgara
ཀླུ་ཤིང|Nāga tree
ཀླུའི་མཐུ|Nāga-power
ཀླུ་ཟིལ་གནོན|Nāgābhibhū
ཀླུ་ཟིལ་གནོན|Nāgābhibhū
ཀླུ་ཡི་སོ་ཅན|Nāgadanta
ཀླུ་ཡི་སོ་ཅན|Nāgadanta
ཀླུས་བྱིན|Nāgadatta
ཀླུས་བྱིན|Nāgadatta
ཀླུ་ཤིང|Nāga tree
ནཱ་ག་གེ་ས་ར|Nāgakesara
ནཱ་ག་གེ་ས་ར|Nāgakesara
ཀླུ་སྒྲུབ|Nāgārjuna
ཀླུ་སྒྲུབ|Nāgārjuna
ཀླུ་སྒྲུབ|Nāgārjuna
ཀླུ་སྒྲུབ|Nāgārjuna
ཀླུ་གྲུབ|Nāgārjuna
ཀླུ་གྲུབ|Nāgārjuna
ཀླུ་གྲུབ|Nāgārjuna
ཀླུ་གྲུབ|Nāgārjuna
ཀླུ་མོ|Nāgī
ཀླུ་མོ|Nāgī
ཀླུ་མོ|Nāginī
ཀླུ་མོ|Nāginī
ཀླུ་མོ|Nāginī
ནག་ཚོ་ལོ་ཙཱ་བ|Nagtsho Lotsawa
ནཻ་རན་ཛན་ན|Nairañjanā
ནཻ་རན་ཛན་ན|Nairañjanā
ནཻ་རཉྫ་ནཱ|Nairañjanā
ནཻ་རཉྫ་ནཱ|Nairañjanā
གཅེར་བུ་པ|Naked ascetics
སྡེར་མོ|Nakha
སྡེར་མོ|Nakha
སྐར་མའི་རྒྱལ་པོ|Nakṣatrarāja
སྐར་མའི་རྒྱལ་པོ|Nakṣatrarāja
སྐར་མའི་རྒྱལ་པོ|Nakṣatrarāja
སྐར་མའི་རྒྱལ་པོ|Nakṣatrarāja
སྐར་མའི་རྒྱལ་པོ་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་མངོན་པར་ཤེས་པ|Nakṣatra­rāja­saṃkusumitābhi­jña
སྐར་མའི་རྒྱལ་པོ་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་མངོན་པར་ཤེས་པ|Nakṣatra­rāja­saṃkusumitābhi­jña
རིགས་མེད|Nakula
རིགས་མེད|Nakula
ན་ལ་ད|Nālada
ན་ལ་ད|Nālada
མིང|Name
མིང་དང་གཟུགས|Name-and-form
མིང་དང་གཟུགས|Name and form
མིང་གཟུགས|Name and form
མིང་དང་གཟུགས|Name-and-form
མིང་དང་གཟུགས|Name and form
མིང་གཟུགས|Name and form
མིང་དང་གཟུགས|Name-and-form
མིང་དང་གཟུགས|Name and form
མིང་གཟུགས|Name and form
མིང་དང་གཟུགས|Names-and-form
གནམ་མཁའི་སྙིང་པོ|Namkhai Nyingpo
བདུད|Namuci
བདུད|Namuci
བདུད|Namuci
བདུད|Namuci
སྣ་ནམ་ཡེ་ཤེས་སྡེ|Nanam Yeshé Dé
དགའ་བོ|Nanda
དགའ་བོ|Nanda
དགའ་བ|Nanda
དགའ་བ|Nanda
དགའ་བོ|Nanda
དགའ་བོ|Nanda
དགའ་བོ|Nanda
དགའ་བོ|Nanda
