འལ་འོལ|འལ་ལེ་འོལ་ལེ vague/_imprecise
རྒྱ་ཆེན་སྤྱོད་བརྒྱུད|lineage of extensive conduct
རྒྱ་ཁ་རལ་བ|violation of encompassing sphere [?]
རྒྱ་ཆེ་བ|vast/_enormous. (rgya che bar)/_chen po(r) - vast(ness)/_extensive; on a vast scale
རྒྱ་ཆེ་བའི་རྟག་པ|'permanence in the largest sense/_on a cosmic scale'
རྒྱ་ཆད་ཕྱོགས་ལྷུང་མེད་པ|[regarding phenomena] not subject to/_defined by restrictions or extremes [regarding nature of mind, etc.] not subject to restrictions or extremes [regarding space] not restricted and not localized
རྒྱ་ཆད་མེད་པ|not subject to/_defined by restrictions; not subject to/_defined
རྒྱ་མཚོ་ཅོག་བཞག|the ocean-like state of resting imperturbably/_imperturbable rest/_presence; the imperturbable resting of an ocean; state of resting imperturbably/_imperturbable rest/_presence that is like a ocean
རྒྱ་མ་ཆད་པ|by restricting views/_restrictions; boundaries cannot be imposed; cannot be arbitrarily defined/_circumscribed/_delimited; without restriction(s); unfettered. unfragmented; cohesive
རྒྱབ|back
རྒྱབ་དུ་བོར་བ|to turn one's back
རྒྱབ་དུ་འབོར་བ|to turn one's back
རྒྱགས་པ|arrogance
རྒྱལ་བ|victorious one; to win/_be victorious
རྒྱལ་པོ|king; རྒྱལ་པོ་འི monarch; the most majestic (of); king/_ruler
རྒྱལ་རིགས|warrior class/_kshatriya
རྒྱལ་སྲས|spiritual heir/_child of the victorious ones
རྒྱལ་སྲིད|dominion/_empire/_domain/_kingdom
རྒྱལ་སྲིད་སྣ་བདུན|seven attributes of a universal monarch
རྒྱལ་བའི་སྲས|spiritual heir/_child of the victorious ones
རྒྱལ་བ་དགོངས་པའི་བརྒྱུད་པ|lineage of mind-to-mind transmission of victorious ones*
རྒྱལ་བ་དགོངས་ཀྱི་བརྒྱུད་པ|lineage of mind-to-mind transmission of victorious ones*
རྒྱལ་པོའི་གཏན་སྲིད|most majestic ongoing/_continuous (state of) authentic being
རྒྱན|adornment (of being)*
རྒྱན་ཆ|adornment/_ornament
རྒྱན་གྱི་འཁོར་ལོ|ongoing/_continuous/_continuum of adornment
རྒྱང་ཞགས་ཆུའི་སྒྲོན་མ|far-reaching lasso of the water lamp*
རྒྱངས་གླུ|siren's song
རྒྱས་འདེབས|རྒྱས་གདབ། རྒྱས་བཏབ་པ - to apply a/_the (all-embracing) seal; isc. to affirm/_confirm
རྒྱས་བཤད|extensive explanation
རྒྱས་པ|to unfold/_expand/_spread; unfolded/_expanded; effulgent [bhaga]; to flourish
རྒྱས་འདེབས་ཆེན་པོའི་ཏིང་ངེ་འཛིན|meditative absorption as the supreme application of an (all-embracing) seal
རྒྱས་པའི་ལས|enriching activity
རྒྱས་པར་བཤད་པ|extensive explanation
རྒྱས་འགྱུར་གྱི་རིགས|evolved aspect of spiritual affinity
རྒྱུ|(verb) + rgyu - (something) to be . . .. (primary) cause/_causal factor
རྒྱུ་འབྲས|causality; cause and effect; cause-and-effect relationship
རྒྱུ་བ|to roam/_move/_pass (through)
རྒྱུ་མཚན|reason/_cause/_causal factor
རྒྱུ་མཐུན་པ|. . . (dang) rgyu mthun pa - accordant/_harmonious with . . . ; in accordance/_harmony with
རྒྱུ་མཐུན་པའི་འབྲས་བུ|result consonant/_in harmony with its cause
རྒྱུ་འབྲས་རྩོལ་སྒྲུབ|cause and effect, effort and achievement
རྒྱུ་འབྲས་འབད་རྩོལ|to struggle with cause and effect
རྒྱུ་འབྲས་ལ་རྩོལ་བ|to struggle with cause and effect
རྒྱུ་འབྲས་ཐེག་པ|spiritual approaches based on/_concerned with/_involving causes and results
རྒྱུ་འབྲས་དགེ་སྡིག|positive or negative cause(s) and effect(s)
རྒྱུའི་རྐྱེན|causal condition
རྒྱུའི་ཆོས་སྐུ|causal (aspect of) dharmakaya
རྒྱུའི་ཐེག་པ|cause-oriented approach
རྒྱུའི་ཏིང་ངེ་འཛིན|causal samadhi/_meditative absorption
རྒྱུད|tantra; tantra/_continuum (of being); mindstream
རྒྱུད་ལ|. . . isc. . . . in (one's) personal experience
རྒྱུད་སྡེ|tantra class
རྒྱུད་ལ་འཇོག|རྒྱུད་ལ་གཞག། རྒྱུད་ལ་བཞག་པ to plant in the mindstream
རྒྱུད་ལ་སྦྱོར|རྒྱུད་ལ་སྦྱར་བ to apply to/_in one's mindstream/_personal experience
རྒྱུག་པ|to run
རྒྱུན|flow
རྒྱུན་གྱི|ongoing/_continuous
རྒྱུན་མཐའ|final/_extreme limit (of the continuum) of spiritual development [=10th bhumi]
རྒྱུན་ཞུགས|stream-winner
རྒྱུན་སྐྱོང་བ|. . . gi rgyun skyong ba - to maintain an ongoing/_continuous experience of . . .
རྒྱུན་ཆད་པ|interruption; interrupted
རྒྱུན་མི་ཆད་པ|། མ་བཅད (+r) continuous; uninterrupted(ly)
རྒྱུན་མ་བཅད་པ|uninterrupted; ། མི་ཆད་པ (+r) continuous; uninterrupted(ly)
རྒྱུན་གྱི་འཁོར་ལོ|continuous/_ongoing state; isc. eternal present
རྒྱུན་ཆགས་པ|ongoing; ongoing/_continuous flow
རྒྱུར་གྱུར་པ|. . . (kyi) rgyur gyur pa - to act as the (primary) cause of . . .
རྒྱུས|grasp/_clue/_inkling
རྒྱུས་པ|tendon/_sinew
རྒྱུས་མེད་པ|without a grasp/_the slightest inkling
རི|རི་བོ mountain
རི་བོ|mountain
རི་བོང|rabbit
རི་དབ༹གས|wild (herbivorous) animal; (esp.) deer/_antelope
རི་ཁྲོད|hermitage
རི་མོ|design/_pattern; line/_drawing/_painting
རི་སྒོག|wild mountain garlic
རི་བོ་ཅོག་བཞག|the mountain-like state of resting imperturbably/_imperturbable rest/_presence; the imperturbable presence/_rest(ing) of a mountain; state of resting imperturbably/_imperturbable rest/_presence that is like a mountain
རིག་འཛིན|རིག་པ་འཛིན་པ master/_holder of awareness/_one who has mastered (the recognition of) awareness/_upholds awareness/_awareness holder/_vidyadhara
རིག་གདངས|རིག་པའི་གདངས radiance of awareness
རིག་གེ|རིག་གེ་བ wakeful
རིག་གནས|རིག་པའི་གནས field of knowledge/_study
རིག་གཏད|conferral/_focusing of awareness (introductory ritual of empowerment)
རིག་མ|consort of awareness
རིག་པ|awareness; isc. the awareness recognized . . . ; to be aware (of)
རིག་སྔགས|awareness mantra
རིག་སྟོང|unity of awareness and emptiness; (simultaneously) aware yet empty
རིག་བྱེད་རྩལ|རིག་བྱེད་རྩལ་གྱི་ཡེ་ཤེས (timeless awareness as) dynamic energy that functions as cognition
རིག་འཛིན་བཞི|four levels of masters/_holders of awareness*
རིག་འཛིན་བརྡའི་བརྒྱུད་པ|lineage of transmission through symbols by/_of masters/_holders of awareness*
རིག་རྗེན་ལ་ཕུད་པ|to elicit awareness in all its nakedness; awareness bursting forth in all its nakedess
རིག་དང་མ་རིག|recognition or nonrecognition of awareness
རིག་གདངས་རྡོ་རྗེ་ལུ་གུ་རྒྱུད|vajra continuum ('chain formation') of/_as the radiance of awareness*
རིག་རྩལ་རྡོ་རྗེ་ལུ་གུ་རྒྱུད|vajra continuum ('chain formation') of/_as the dynamic energy of awareness*
རིག་པའི་གདངས|radiance of awareness
རིག་པའི་གནས|rig gnas; རིག་གནས field of knowledge/_study
རིག་པའི་ནུས་པ|creative/_energetic potential of awareness
རིག་པའི་སྣང་བ|perspective of awareness
རིག་པའི་ཡེ་ཤེས|awareness—timeless awareness; recognition of timeless awareness*; isc. to recognize timeless awareness; isc. one's personal experience of timeless awareness
རིག་པའི་རྩལ་དབང|empowerment into the dynamic energy of awareness*
རིག་པ་ཅོག་བཞག|resting imperturbably/_imperturbable rest/_presence of awareness; state of imperturbable rest/_presence in awareness
རིག་པ་ལྷོང་བ|རིག་པ་སློང་བ challenge to one's recognition of awareness
རིག་པ་རྡོ་རྗེ་ལུ་གུ་རྒྱུད|vajra continuum ('chain formation') of/_as awareness*
རིག་པ་ཡེ་ཤེས|རིག་པའི་ཡེ་ཤེས awareness—timeless awareness; recognition of timeless awareness*; isc. to recognize timeless awareness; isc. one's personal experience of timeless awareness
རིག་པ་ཚད་ཕེབས|awareness reaching full expression/_measure; the full expression of awareness*
རིག་པ་ཅན་པ|logician
རིག་པ་རང་སྣང་གི་བློ་ཅན|one whose mind state is one of self-manifest awareness
རིག་པ་འཛིན་པ|master/_holder of awareness/_one who has mastered (the recognition of) awareness/_upholds awareness/_awareness holder/_vidyadhara
རིག་པ་ཐུག་ཕྲད|the direct encounter that is awareness
རིག་པ་སྤྱི་བླུགས|deep immersion in awareness
རིག་པ་སློང་བ|རིག་པ་ལྷོང་བ challenge to one's recognition of awareness
རིག་གེ་བ|wakeful
རིགས|རིགས་རྒྱུད (in sense of 'buddha nature') spiritual affinity/_birthright; inborn family trait (in general sense) family/_(character) type/_kind/_species
རིགས་འགྲེ|རིགས་འགྲེས to follow the same pattern/_apply the same model
རིགས་འགྲེས|to follow the same pattern/_apply the same model
རིགས་དྲུག|six classes/_states of ordinary being(s)
རིགས་གཅིག|of identical kind/_type
རིགས་ལམ|path of reasoning; logician's approach
རིགས་པ|(line of) (logical) reasoning; (to be) logical/_reasonable/_rational; to apply; to make (perfect) sense
རིགས་རྒྱུད|(in sense of 'buddha nature') spiritual affinity/_birthright; inborn family trait (in general sense) family/_(character) type/_kind/_species
རིགས་གཅིག་པ|of identical kind/_type
རིགས་མཐུན་པ|compatibility; consistency; harmony
རིགས་སད་པ|(to experience) the awakening of one's spiritual affinity
རིགས་མི་མཐུན་པ|incompatibility; inconsistency; disharmony
རིགས་ལམ་འབྲིང་པོ|intermediate path of reasoning
རིགས་ལམ་ཆུང་ངུ|introductory path of reasoning
རིགས་ལམ་ཆེན་པོ|advanced path of reasoning
རིལ་སེམས|རིལ་སེམས་གཅིག (some single) collective mind/_oversoul
རིམ་བརྩེགས|progressive stacking (one above the other)
རིམ་ཅན|graded/_developmental (system)
རིམ་གྱིས|developmentally; gradually/_in stages; eventually
རིམ་པ|stage (of practice)/_level; progression/_sequence
རིམ་པར|developmentally; by/_in stages
རིམ་པས|developmentally; gradually/_in stages; eventually
རིམ་རྩོལ|developmental effort
རིམ་གྱིས་པ|person who proceeds developmentally
རིན་ཆེན|precious
རིན་ཆེན་མཁའ་འགྲོ|Ratnadakini
རིན་ཆེན་གཏེར་མཛོད|Treasure Trove of Precious Hidden Teachings (collection compiled by 'Jam mgon Kong sprul bLo gros mTha' yas)
