ཀུད|བཀུ ND.gives as the present of ཀུད.
འཛོད|see འཛད
འཛོགས|see འཛེག
འཛོལད|see འཛོལ
འཛོམས|see འཛོམ
འཛུལད|see འཛུལ
ཛུལད|see འཛུལ
འཛུས|see འཛུ
གབས|see གབ
འགགས|see འགག
འགལད|see འགལ
གལད|see གལ
འགམས|see འགམ
གས|see འགས
གཅད|see གཅོད
གཅགས|see འཇགས
གཅར|see གཅོར
གཅེརད|see གཅེར
གཅིས|see གཅི
གཅོམས|see གཅོམ
གཅོརད|see གཅར
གཅོརད|see གཅོར
གཅོར|see གཅར
གཅུན|see འཇུན
གཅུརད|see གཅུར
གཅུས|see གཅུ
གདག|see འདོག
གདགས|see འདོགས
གདལད|see གདལ
གདམས|see འདོམས
གདངས|see གདང
གདེངས|see གདེང
གདིང|see འདིང
གདོནད|see གདོན
གདོངས|see གདང
གདོན|see འདོན
གདུང|see དུངས
གདུངས|see གདུང
གདུ|see འཐུ
གདུས|see གདུ
འགེམས|see འགེམ
གླལད|see གླལ
གླནད|see གླན
གླས|see གླ
གླེབས|see གླེབ
གླེམས|see གླེམ
གླེངས|see གླེང
གློངས|see གློང
གནན|see གནོན
གནོང|see གནང
གནོངས|see གནོང
གཉག|see གཉེག
གཉག|see གཉོག
གཉགས|see གཉེག
གཉེགས|see གཉེག
གཉེརད|see གཉེར
གཉིད|see རྙིད
གཉུལད|see གཉུལ
གོག|see འགོག
གོགས|see བགག
གོགས|see དགོགས
གོལད|see གོལ
འགོམས|see འགམ
གོནད|see གོན
འགོངས|see འགོང
འགོརད|see འགོར
འགོས|see འགོ
གོས|see འགོ
གོས|see གོ
གྲགས|see གྲག
འགྲམ|see འགྲམས
གྲམ|see འགྲམས
གྲམས|see འགྲམས
འགྲནད|see འགྲན
འགྲངས|see འགྲང
འགྲེད|see འདྲེད
འགྲེལད|see འགྲེལ
འགྲེམས|see འགྲེམ
གྲེམས|see འགྲེམ
འགྲེངས|see འགྲེང
གྲེངས|see འགྲེང
འགྲེས|see འགྲེ
གྲིབ|see འགྲིབ
འགྲིབས|see འགྲིབ
འགྲིགས|see འགྲིག
གྲིལད|see འགྲིལ
གྲིལ|see འགྲིལ
འགྲིམས|see འགྲིམ
གྲིམས|see འགྲིམ
གྲིམས|see གྲིམ
གྲོལད|see གྲོལ
འགྲོང|see འགྲོངས
གྲུབ|see འགྲུབ
འགྲུལད|see འགྲུལ
གྲུམས|see འགྲུམ
གྲུངས|see བགྲུང
གྲུས|see བགྲུད
གསད|see གསོད
གསག|see གསོག
གསལད|see གསལ
གསནད|see གསན
གསནད|see གཟོན
གསང|see གསོང
གསངས|see གསོང
གསན|see གཟོན
གསེས|see གསེ
གཤག|see གཤོག
གཤགས|see གཤོག
གཤལད|see བཤལ
གཤང|see གཤོང
གཤངས|see བཤང
གཤངས|see གཤོང
གཤརད|see གཤོར
གཤར|see གཤོར
གཤེརད|see གཤེར
གཤེས|see གཤེ
གཤིབས|see གཤིབ
གཤིནད|see གཤིན
གཤོརད|see གཤོར
གཤོར|see འཆོར
གཤོས|see གཤོ
གཤུངས|see གཤུང
གསིལད|see གསིལ
གསིངས|see གསིང
གསིརད|see གསིར
གསོགས|see གསེག
གསོགས|see གསོག
གསོལད|see གསོལ
གསོནད|see གསན
གསོནད|see གསོན
གསོནད|see གཟོན
གསོངས|see གསོང
གསོརད|see གསོར
གསོས|see གསོ
གསུངས|see གསུང
གཏབ|see འདེབས
གཏད|see གཏོད
གཏག|see གཏོག
གཏགས|see གཏག
གཏམ|see འདམ
གཏམས|see གཏམ
གཏང|see གཏོང
གཏརད|see གཏར
གཏེགས|see འདེགས
གཏིགས|see གཏིག
གཏོགས|see གཏོག
གཏོར|see འཐོར
གཙེརད|see འཛེར
གཙེར|see འཛེར
གཙེ|see འཚེ
གཙེས|see འཚེ
གཙིས|see གཙི
གཙོགས|see གཙག
གཏུབ|see འཐུབ
གཏུབས|see གཏུབ
གཏུགས|see གཏུག
གཏུལ|see འདུལ
གཏུལ|see འཐུལ
གཏུམ|see འཐུམ
གཏུམས|see འཐུམ
གཏུརད|see གཏུར
གུད|see འགུད
འགུལད|see འགུལ
གུམ|see འགུམ
གུམས|see འགུམ
གུམས|see འགུམས
གཡབ|see གཡོབ
གཡབས|see གཡོབ
གྱག|see འགྱག
འགྱགས|see འགྱག
གྱགས|see འགྱག
འགྱགས|see འགྱོག
གཡལད|see གཡལ
གཡནད|see གཡན
འགྱངས|see འགྱང
གཡརད|see གཡོར
གཡར|see གཡོར
གྱ|see འགྱས
གྱས|see འགྱས
འགྱེག|see འཁྱེག
འགྱེལད|see འགྱེལ
གཡེལད|see གཡེལ
གཡེམས|see གཡེམ
གཡེངས|see གཡེང
གཡེརད|see གཡེར
གྱེརད|see འགྱེར
གྱེར|see འགྱེར
གྱེ|see དགྱེ
གྱེས|see འགྱེས
གཡིགས|see གཡིག
འགྱིངས|see འགྱིང
གྱི|see བགྱིད
གཡོབས|see གཡོབ
གཡོགས|see གཡོག
གཡོལད|see གཡོལ
གཡོརད|see གཡོར
གྱོས|see འགྱས
གཡོས|see གཡོ
གཡུགས|see གཡུག
གཡུངས|see གཡུང
གྱུརད|see འགྱུར
འགྱུས|see འགྱུ
གཟབས|see གཟབ
གཟག|see འཛག
གཟགས|see འཛག
གཟནད|see གཟན
གཟརད|see གཟར
གཟས|see གཟའ
གཟེངས|see གཟེང
གཞག|see འཇོག
གཞལ|see འཇལ
གཞམས|see འཇམ
གཞེནད|see གཞེན
གཞེརད|see གཞེར
གཞིབ|see འཇིབ
གཞིབས|see གཞིབ
གཞིག|see འཇིག
གཞིགས|see གཞིག
གཞིལ|see འཇིལ
གཞོལད|see གཞོལ
གཞོམ|see འཇོམས
གཞོམས|see གཞོམ
གཞུག|see འཇུག
གཞུམ|see འཇུམ
གཞུནད|see གཞུན
གཞུངས|see གཞུང
གཞུརད|see གཞུར
གཞུར|see འཇུར
གཞུས|see གཞུ
གཟིམས|see གཟིམ
གཟིངས|see གཟིང
གཟིརད|see གཟིར
གཟོབ|see གཟབ
གཟོགས|see གཟགས
གཟོས|see གཟོ
གཟུད|see འཛུད
གཟུགས|see འཛུགས
གཟུལ|see འཛུལ
གཟུམ|see འཛུམས
གཟུང|see འཛིན
གཟུར|see འཛུར
ཧབས|see ཧབ
ཧངས|see ཧང
ཧརད|see ཧར
ཧྲལད|see ཧྲལ
ཧྲེམས|see ཧྲེམ
ཧྲེངས|see ཧྲེང
ཧྲོལད|see ཧྲལ
ཧྲུལད|see ཧྲུལ
ཇགས|see འཇག
འཇང|see འཇོང
འཇངས|see འཇོང
འཇརད|see འཇར
འཇེབ|see འཇེབས
འཇིབས|see འཇིབ
ཇིབས|see འཇིབ
འཇོགས|see འཇོག
འཇོལ|see འཇལ
འཇོམ|see ཞོམ
འཇོངས|see འཇོང
འཇོས|see འཇོ
འཇུམ|see ཞུམ
འཇུརད|see འཇུར
འཇུས|see འཇུ
ཇུས|see འཇུ
ཀལ|see འགེལ
ཀེརད|see ཀེར
འཁམས|see འཁམ
འཁངས|see འཁང
འཁརད|see འཁར
འཁེབ|see ཁེབས
ཁེབ|see ཁེབས
ཁེལད|see འཁལ
ཁེལད|see འཁེལ
ཁེངས|see འགེང
འཁེངས|see འཁེང
ཁེངས|see ཁེང
ཁོབས|see འགེབས
འཁོབས|see འཁོབ
ཁོད|see འགད
ཁོད|see འགོད
ཁོག|see སྒག
ཁོགས|see འགོག
ཁོལད|see འཁོལ
ཁོལ|see འགེལ
ཁོལ|see འཁོལ
ཁོམས|see ཁོམ
ཁོནད|see འཁོན
འཁོརད|see འཁོར
ཁོས|see འགས
འཁོས|see འཁོ
འཁྲབས|see འཁྲབ
འཁྲས|see འཁྲ
ཁྲེལད|see འཁྲེལ
ཁྲེལ|see འཁྲེལ
འཁྲེནད|see འཁྲེན
ཁྲེནད|see འཁྲེན
ཁྲིད|see འཁྲིད
ཁྲིགས|see དཀྲིག
འཁྲིགས|see འཁྲིག
ཁྲིགས|see འཁྲིག
འཁྲིལད|see འཁྲིལ
འཁྲིས|see འཁྲི
ཁྲོབས|see འཁྲབ
འཁྲོགས|see འཁྲོག
འཁྲོལད|see འཁྲོལ
ཁྲོལད|see འཁྲོལ
ཁྲོལ|see འགྲོལ
ཁྲོམས|see འགྲེམ
ཁྲོས|see ཁྲོ
འཁྲུགས|see འཁྲུག
འཁྲུལད|see འཁྲུལ
འཁྲུངས|see འཁྲུང
ཁྲུ|see འཁྲུད
འཁྲུས|see འཁྲུ
ཁྲུས|see འཁྲུ
ཁུག|see འགུགས
ཁུགས|see ཁུག
འཁུལད|see འཁུལ
འཁུམས|see འཁུམ
ཁུམས|see འཁུམ
འཁུནད|see འཁུན
ཁུརད|see འཁུར
ཁུར|see འཁུར
འཁུས|see འཁུ
ཁུས|see འཁུས
འཁྱགས|see འཁྱག
ཁྱགས|see ཁྱག
ཁྱལད|see འཁྱལ
ཁྱལ|see འཁྱལ
འཁྱམས|see འཁྱམ
ཁྱམས|see འཁྱམ
འཁྱརད|see འཁྱར
ཁྱེད|see འགྱེད
ཁྱེད|see འཁྱེད
ཁྱེརད|see འཁྱེར
ཁྱེར|see འཁྱེར
འཁྱིགས|see འཁྱིག
ཁྱིགས|see འཁྱིག
འཁྱིལད|see འཁྱིལ
ཁྱིར|see འཁྱིར
ཁྱོག|see འཁྱེག
ཁྱོག|see འཁྱོག
འཁྱོལད|see འཁྱོལ
འཁྱོམས|see འཁྱོམ
ཁྱོམས|see འཁྱོམ
འཁྱོངས|see འཁྱོང
ཁྱོངས|see འཁྱོང
ཁྱུརད|see འཁྱུར
ཁྱུར|see འཁྱུར
འཁྱུ|see འཁྱུས
ཁྱུས|see འཁྱུས
ཀློགས|see ཀློག
ཀླུབས|see ཀླུབ
ཀྲོབས|see བཀྲབ
ཀྲོངས|see དགྲོང
ཀུས|see བཀུ
ཀྱལད|see འཁྱལ
ལབས|see ལབ
ལམས|see ལམ
ལངས|see ལང
ལངས|see ལྡང
ལྕེབས|see ལྕེབ
ལྡནད|see ལྡན
ལྡེགས|see ལྡེག
ལྡེས|see ལྡེ
ལྡིགས|see ལྡིག
ལྡིརད|see ལྡིར
ལྡོབས|see ལྡབ
ལྡོབས|see ལྡོབ
ལྡོད|see ལྡད
ལྡོགས|see ལྡག
ལྡོང|see ལྡང
ལྡོངས|see ལྡིང
ལྡོངས|see ལྡོང
ལྡུགས|see ལྡུག
ལྷོངས|see ལྷོང
ལྐུག|see ལྐུགས
ལོབས|see ལབ
ལོབས|see ལོབ
ལོནད|see ལོན
ལོང|see ལང
ལོངས|see ལང
ལོངས|see ལེན
ལྟམས|see ལྟེམས
ལྟེབས|see ལྟེབ
ལྟོག|see ལྟོགས
ལྟོས|see ལྟ
ལུགས|see ལུག
མལད|see མལ
མངས|see མང
མཆིས|see མཆི
མཆོངས|see མཆོང
མཆོརད|see མཆོར
མཛེརད|see འཛེར
མཛེར|see འཛེར
མཛོད|see མཛད
མེརད|see མེར
མགོར|see མགར
མགྱོགས|see མགྱོག
མིནད|see མིན
མཇལད|see མཇལ
མཇོལད|see མཇལ
མཁྲངས|see མཁྲང
མཁྲེགས|see མཁྲེག
མཁྲེནད|see མཁྲེན
མཁྱེནད|see མཁྱེན
མནབས|see ནབ
མནགས|see མནག
མནལད|see མནལ
མནམས|see མནམ
མནངས|see མནང
མནན|see གནོན
མནརད|see མནར
མངགས|see མངག
མངོནད|see མངོན
མནོབ|see ནབ
མནོག|see མནག
མནོལད|see མནོལ
མནོལ|see མནལ
མནོ|see ནོད
མནོས|see མནོ
མནོས|see ནོད
མཉནད|see ཉན
མཉེལད|see མཉེལ
མཉེནད|see མཉེན
མཉེ|see མཉེད
མཉེས|see མཉེད
མོགས|see མོག
མོལད|see མོལ
མཐོལད|see མཐོལ
མཐུནད|see མཐུན
མཚནད|see མཚན
མཚརད|see མཚར
མཚེརད|see མཚེར
མཚོནད|see མཚོན
མུལད|see མུལ
མུརད|see དམུར
མུར|see དམུར
མྱགས|see མྱག
མྱང|see མྱོང
མྱངས|see མྱོང
མྱོངས|see མྱོང
མྱོ|see མྱོས
མྱུག|see དམྱུག
མྱུགས|see དམྱུག
མྱུགས|see མྱུག
མྱུལད|see མྱུལ
ནེམས|see ནེམ
ནེནད|see ནེན
ནེརད|see ནེར
ངལད|see ངལ
